protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
Q0010,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.20887628958522e+80,0.1904827633803789
Q0297,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.208876281625526e+80,0.1904827633803789
Q0032,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.20887628724613e+80,0.1904827633803789
Q0143,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.208876284515266e+80,0.1904827633803789
Q0182,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.208875953557869e+80,0.1904827633803789
Q0142,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.208876667533386e+80,0.1904827633803789
Q0017,7.0,2.747282898330841e-07,0.004663801496383147,0.00014924991595490367,0.0,9.208876278937332e+80,0.1904827633803789
Q0092,14.0,5.788971487667932e-05,0.004848536401397216,0.000206300538334629,0.0025670323873797506,4.085921748796935e+85,0.2352339555100997
Q0045,58.0,0.00029901158145057287,0.006044484723497103,0.0003989871838830118,0.0010628085064310095,1.0889596735066779e+87,0.27170702894270526
YNR018W,24.0,3.698014110604357e-05,0.005116036402354979,0.00016612467195434936,1.883754769240129e-05,1.6650422125639774e+85,0.23890932698550096
YGL226W,25.0,0.00015337699053765086,0.005246560811261872,0.0001593875727189925,3.6367195382756976e-06,2.8633327060988294e+86,0.26035279690595226
YDR119W-A,24.0,3.902706824800286e-05,0.005121516348069306,0.00015868457260637247,5.400995522425e-07,1.8544910001805903e+85,0.23890932698550096
Q0075,27.0,0.0001745552858675553,0.005268284799378668,0.00020691757771684326,0.0005710606990150445,3.709806791029261e+86,0.25606531521083636
Q0105,61.0,0.00028650862104516293,0.006128703952934386,0.00040391925100065074,0.0030302190223814407,9.997895961096111e+86,0.2859510982179859
Q0065,36.0,0.0001442239144185914,0.005472563733177596,0.00023319927941110635,0.00011114606498137698,2.53150709330334e+86,0.2639001768896113
YMR014W,137.0,0.014364228859473334,0.01857796699189442,0.0005016967437911376,0.00980322248333394,2.5113501366731535e+90,0.3030802174271125
YIL157C,6.0,1.7538461396873997e-06,0.004651863648046635,8.153117905439977e-05,3.759526135810974e-06,3.7448825388284546e+82,0.21878715814506539
Q0115,36.0,0.00018474218963356477,0.005504335518830954,0.0002566567948740431,0.0010619179757958422,4.1550735880509545e+86,0.2737416315397967
Q0055,15.0,4.163929393301291e-05,0.00489663820492201,0.0001170144265232711,1.3621101751561021e-05,2.112253961798898e+85,0.24464831804281345
YGR222W,11.0,1.1411232819954066e-05,0.004761835198582659,0.00013970500544966766,7.51137622348113e-05,1.5869179628148651e+84,0.2294168987157641
YHR001W-A,30.0,0.0001535131845614329,0.005338548265747936,0.00019265830373397074,2.5585121872992428e-05,2.8699411431141453e+86,0.2576549663928305
YPR191W,64.0,0.0005720980445255896,0.006429885743322532,0.0003876478569415274,0.0011949210587872802,3.986693498073168e+87,0.28393601152204107
YJL166W,58.0,0.00047090502058715777,0.006211550525835485,0.00035393352696553725,0.00030591577251222186,2.7008137167317594e+87,0.2784363177805801
Q0060,12.0,1.1188664710714873e-05,0.004805324437500775,9.923305744273566e-05,4.466610436028341e-06,1.5236813472633323e+84,0.2391577487977124
YLR067C,17.0,6.323230895625884e-05,0.004918060877350537,0.00020636816976184031,0.0012514650279927175,4.8736911375755914e+85,0.2427013717903623
YML030W,14.0,2.1694666824144875e-05,0.004875394678235776,0.00011156827903960329,1.222959342903054e-05,5.730515636596488e+84,0.23557528166609765
YDR194C,12.0,0.00024502264174682556,0.004974313881066151,9.668970793753049e-05,0.00028156713888348087,7.307351967843158e+86,0.26183474053695094
Q0050,15.0,4.169124693578357e-05,0.004897734005250932,0.00011614593229288136,6.4182873268003555e-06,2.1176593297338115e+85,0.24692462536345336
YDL067C,24.0,4.042218457837659e-05,0.005122765337706651,0.00015762296782069083,2.8475546285377395e-06,1.9895451762648597e+85,0.23895069477511796
Q0255,13.0,8.836606190222883e-05,0.004882561619958717,0.00015633338120780922,0.001088048074081026,9.518712257432933e+85,0.24843602322336739
Q0160,22.0,0.00025646963754771834,0.005239181515933934,0.00015336380865888543,0.001493428953035998,8.015214573412897e+86,0.2800324675324675
YOR065W,87.0,0.0007352096133744273,0.007036770372484661,0.0005735002785967213,0.004040119448003701,6.584637915632551e+87,0.2913543755937929
Q0080,25.0,0.00037789338968422946,0.005366226347036977,0.00019109177177166036,0.0007631175606172123,1.7404516926034075e+87,0.25785957864250014
YML129C,10.0,1.01022944193257e-05,0.00475574174918817,0.00010695809040575538,4.1719930588533246e-05,1.2427278821519525e+84,0.23026864675454697
YEL039C,56.0,0.00024427472151594465,0.00597831862185161,0.0004289263335759707,0.004485752595295416,7.270691880418262e+86,0.2949663353638987
Q0250,69.0,0.0002749582495550986,0.0062782748554451925,0.0004728096253584684,0.0024812593283291373,9.207835643570012e+86,0.2830188679245283
YMR256C,23.0,3.892731339921562e-05,0.005101346049259424,0.00015190815119122116,2.9840620054663246e-09,1.8450298336727406e+85,0.2388989872760322
Q0275,60.0,0.0002692883334270975,0.006084751256613411,0.00039292599283151006,0.0012553215048326568,8.831842462330757e+86,0.27819776232234655
YGL191W,48.0,0.0003669170562565478,0.005919969115843601,0.0002866760229082671,0.0003430953647124507,1.6397951280353583e+87,0.2737416315397967
YEL024W,76.0,0.0004883064478068849,0.006604681875881501,0.0004931352450552846,0.0024263233732862697,2.9044974234197675e+87,0.2868724664795759
YMR244C-A,40.0,0.00016105165300244785,0.005557733194247498,0.00029199234681378714,0.0007987686007491653,3.157203011500953e+86,0.2660369174418044
