protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
1,29.0,0.07328401222313193,0.058173249134569664,0.0045947900870372356,0.005053642110789491,10301448075.693592,0.44832826747720367
2,12.0,0.022162929693133566,0.05807437662468898,0.0019691128457093258,0.0008842597701091879,942963697.9365722,0.4013605442176871
3,14.0,0.047909985042767125,0.05808605788349519,0.003698755112172745,0.0004083144686382778,4402993419.87165,0.4030054644808743
4,14.0,0.015390477109485115,0.058085939112726866,0.00351785148805966,0.0045402368892020865,454228207.89252526,0.4008152173913043
5,3.0,0.003997876726887406,0.058022025341178916,0.0008863276003043682,3.015704562784074e-05,30644114.915665485,0.3394706559263521
6,3.0,0.008559102719221608,0.05802204164580373,0.0006829341600129575,2.429400492509255e-05,140496367.88400233,0.3575757575757576
7,12.0,0.01931296548472828,0.05807434927216288,0.0018862204055407725,0.001427209975163229,715108163.1055037,0.4041095890410959
8,27.0,0.06235600033119231,0.05816164759772914,0.005145908131375217,0.0023937162015919915,7466616295.474742,0.4416167664670659
9,4.0,0.005345418346227178,0.058027836846595904,0.0010075774741528085,0.00018335814874784182,54782360.63028904,0.35499398315282793
10,26.0,0.08562553026853034,0.058155868760842465,0.0033143872731199054,0.003323841804623994,14065522420.517918,0.43768545994065283
11,27.0,0.03576956341667509,0.05816150270389989,0.004772909160510472,0.00967328038676347,2453558586.348226,0.45038167938931295
12,14.0,0.032643843578186844,0.05808602406514,0.0023118561791614124,0.002386155524042077,2043072218.577615,0.43002915451895046
13,29.0,0.0486780102492368,0.05817320657271934,0.0048976999645870024,0.007148117765198557,4546803570.567766,0.4609375
14,1.0,0.001538115915098663,0.05801040059368769,0.0005712038168966939,0.0,4538602.031657297,0.31483457844183566
15,20.0,0.06720118646139435,0.05812098395086144,0.0036144425393348787,0.0018796608034050719,8661262611.319212,0.444947209653092
16,1.0,0.0015454549478163924,0.05801039942936165,0.000571139838031145,0.0,4578980.839114041,0.3172043010752688
17,5.0,0.0050309396477592715,0.058033643691634496,0.0013659267293452992,0.00025138507156446233,48528028.810783654,0.34787735849056606
18,23.0,0.05727217523070516,0.05813836840225297,0.00587038803817363,0.0025199144601823187,6292137395.687988,0.4263005780346821
19,1.0,0.0019963420556343837,0.05801040466381142,0.0005894537156963342,0.0,7649605.231388361,0.3199566160520607
20,27.0,0.030805066205522803,0.05816148290693502,0.003991620874920269,0.009373380527084984,1820055225.2776864,0.4416167664670659
21,7.0,0.009802018753572514,0.05804528473835612,0.0014177676943932507,0.0003907665778273345,184283708.48754573,0.371536523929471
22,11.0,0.014144350147242727,0.05806851273875353,0.001847388159833868,0.002315514356007595,383651054.8314534,0.38713910761154857
23,11.0,0.009073141696526201,0.05806848249481488,0.002099898987245791,0.0010799291631115072,157824455.6247472,0.3692115143929912
24,36.0,0.1117998805115699,0.05821405133263925,0.005502670206881675,0.0074531600412029095,23968758109.188316,0.4828150572831424
25,23.0,0.071779898778026,0.058138400464113324,0.003489298379220789,0.0030323385362405818,9882353489.082695,0.44294294294294295
26,20.0,0.06410786842194335,0.058120975816820485,0.0026364516513288096,0.0011473711166123586,7879330997.0715065,0.4416167664670659
27,20.0,0.034691538697604545,0.05812088203083109,0.003399748432516398,0.0040786827128872485,2307455981.735841,0.4462934947049924
28,1.0,0.001538115915098663,0.05801040059368769,0.0005768207625052206,0.0,4538602.031657297,0.31483457844183566
29,9.0,0.012536458717401272,0.058056899034407215,0.002112013416116527,0.002185979487076839,301306068.22021824,0.398110661268556
30,21.0,0.050461095667128066,0.058126737798444815,0.003736861304943078,0.0008940285940531877,4884393706.989305,0.41725601131541723
31,3.0,0.006439533085114142,0.05802203640491547,0.0006613816413657723,3.4077937020293224e-05,79512111.75834967,0.35499398315282793
32,20.0,0.07368861150934328,0.058120974698666096,0.002683132855173242,0.00043045245298459065,10419860802.733553,0.4074585635359116
33,10.0,0.01296618926721621,0.058062692520119814,0.0018011450746258408,0.0017893688883949496,322368701.4662894,0.38461538461538464
34,8.0,0.01320054370630774,0.0580510997416236,0.0014289123058391113,0.0007724233108045258,334070965.9317109,0.39228723404255317
35,20.0,0.04743948538206767,0.058120914661484405,0.003438605850278527,0.0009620605205705263,4317016004.058673,0.4154929577464789
36,12.0,0.026960834476291072,0.05807437371349686,0.002866100903787243,0.0018318916956235002,1393998327.1724393,0.41086350974930363
37,28.0,0.06403889122807357,0.05816746668237322,0.005460079835484468,0.002939335571368185,7871387804.195503,0.45314900153609833
38,23.0,0.05156187443061413,0.0581383748052051,0.004991865085229174,0.0016378649820693388,5109028158.59035,0.42263610315186245
39,14.0,0.013633896981165431,0.058085924565234946,0.0022244636043400328,0.0018820189399801185,356364702.55028373,0.39072847682119205
40,17.0,0.038434184401110905,0.058103492886056575,0.0023545295533594253,0.0027632906182705162,2831997358.764909,0.45038167938931295
41,1.0,5.9513179808159834e-05,0.05801038779805025,0.0008105328565219967,0.0,6793.415796703128,0.24180327868852458
42,13.0,0.02560117951792094,0.05808018405789406,0.002215065727268869,0.0016864031347491983,1256528399.032161,0.4125874125874126
43,15.0,0.02578505735098464,0.058091808220989104,0.002438443419721991,0.002291325417919302,1275225177.997151,0.4220314735336195
44,8.0,0.013147887687490197,0.058051097418597965,0.0014771189731614186,0.0009092586270569638,331417885.18557835,0.39280958721704395
45,24.0,0.06265598066200143,0.05814420026385702,0.004093632815774768,0.0016512429658848901,7531492036.888497,0.4238505747126437
46,1.0,0.001980582710964555,0.05801040118023005,0.0005601489109777261,0.0,7524213.476716085,0.3241758241758242
47,27.0,0.06413951612145474,0.05816164409001786,0.0031994561512917615,0.009678819202251065,7886823798.4176855,0.4742765273311897
48,28.0,0.09772951630243189,0.058167522643050674,0.0034546519274939015,0.002681001004708722,18321943231.021935,0.4462934947049924
49,26.0,0.08956700038445413,0.058155866465949065,0.0044693355860276306,0.0056769163835073385,15390322434.992414,0.42877906976744184
50,26.0,0.05987209475248894,0.05815583029185365,0.00394277301000118,0.002005507156394068,6884862687.431995,0.4306569343065693
